input_state,alice_bits,branch_probability,fidelity
71,01,0.2499999999999998,0.9999999999999998
71,10,0.2499999999999998,0.9999999999999998
71,11,0.2499999999999998,0.9999999999999998
72,00,0.24999999999999994,1.0000000000000004
72,01,0.24999999999999994,1.0000000000000004
72,10,0.24999999999999994,1.0000000000000004
72,11,0.24999999999999994,1.0000000000000004
73,00,0.24999999999999983,0.9999999999999998
73,01,0.24999999999999983,0.9999999999999998
73,10,0.24999999999999983,0.9999999999999998
73,11,0.24999999999999983,0.9999999999999998
74,00,0.24999999999999983,1.0
74,01,0.24999999999999983,1.0
74,10,0.24999999999999983,1.0
74,11,0.24999999999999983,1.0
75,00,0.2499999999999999,0.9999999999999998
75,01,0.2499999999999999,0.9999999999999998
75,10,0.2499999999999999,0.9999999999999998
75,11,0.2499999999999999,0.9999999999999998
76,00,0.24999999999999986,1.0000000000000004
76,01,0.24999999999999986,1.0000000000000004
76,10,0.24999999999999986,1.0000000000000004
76,11,0.24999999999999986,1.0000000000000004
77,00,0.24999999999999997,1.0000000000000004
77,01,0.24999999999999997,1.0000000000000004
77,10,0.24999999999999997,1.0000000000000004
77,11,0.24999999999999997,1.0000000000000004
78,00,0.24999999999999994,1.0
78,01,0.24999999999999992,1.0
78,10,0.24999999999999994,1.0
78,11,0.24999999999999992,1.0
79,00,0.24999999999999983,1.0
79,01,0.24999999999999983,1.0
79,10,0.24999999999999983,1.0
79,11,0.24999999999999983,1.0
80,00,0.24999999999999997,1.0000000000000004
80,01,0.24999999999999997,1.0000000000000004
80,10,0.24999999999999997,1.0000000000000004
80,11,0.24999999999999997,1.0000000000000004
81,00,0.2499999999999999,0.9999999999999998
81,01,0.2499999999999999,0.9999999999999998
81,10,0.2499999999999999,0.9999999999999998
81,11,0.2499999999999999,0.9999999999999998
82,00,0.2499999999999999,1.0
82,01,0.2499999999999999,1.0
82,10,0.2499999999999999,1.0
82,11,0.2499999999999999,1.0
83,00,0.2499999999999999,0.9999999999999996
83,01,0.2499999999999999,0.9999999999999996
83,10,0.2499999999999999,0.9999999999999996
83,11,0.2499999999999999,0.9999999999999996
84,00,0.24999999999999994,1.0
84,01,0.24999999999999994,1.0
84,10,0.24999999999999994,1.0
84,11,0.24999999999999994,1.0
85,00,0.2499999999999999,0.9999999999999998
85,01,0.24999999999999986,1.0000000000000004
85,10,0.2499999999999999,0.9999999999999998
85,11,0.24999999999999986,1.0000000000000004
86,00,0.25,1.0
86,01,0.24999999999999997,1.0000000000000009
86,10,0.25,1.0
86,11,0.24999999999999997,1.0000000000000009
87,00,0.24999999999999986,1.0000000000000004
87,01,0.24999999999999986,1.0000000000000004
87,10,0.24999999999999986,1.0000000000000004
87,11,0.24999999999999986,1.0000000000000004
88,00,0.24999999999999994,1.0000000000000004
88,01,0.24999999999999994,1.0000000000000004
88,10,0.24999999999999994,1.0000000000000004
88,11,0.24999999999999994,1.0000000000000004
89,00,0.2499999999999999,1.0
89,01,0.2499999999999999,1.0
89,10,0.2499999999999999,1.0
89,11,0.2499999999999999,1.0
90,00,0.2499999999999999,1.0
90,01,0.2499999999999999,1.0
90,10,0.2499999999999999,1.0
90,11,0.2499999999999999,1.0
91,00,0.24999999999999994,1.0000000000000004
91,01,0.24999999999999994,1.0000000000000004
91,10,0.24999999999999994,1.0000000000000004
91,11,0.24999999999999994,1.0000000000000004
92,00,0.24999999999999986,1.0
92,01,0.24999999999999986,1.0
92,10,0.24999999999999986,1.0
92,11,0.24999999999999986,1.0
93,00,0.2499999999999999,0.9999999999999996
93,01,0.2499999999999999,0.9999999999999996
93,10,0.2499999999999999,0.9999999999999996
93,11,0.2499999999999999,0.9999999999999996
94,00,0.24999999999999994,1.0000000000000004
94,01,0.24999999999999994,1.0000000000000004
94,10,0.24999999999999994,1.0000000000000004
94,11,0.24999999999999994,1.0000000000000004
95,00,0.24999999999999994,1.0
95,01,0.24999999999999994,1.0
95,10,0.24999999999999994,1.0
95,11,0.24999999999999994,1.0
